iter	Passed	Remaining
0	18	3765
1	34	3369
2	52	3432
3	69	3391
4	86	3363
5	102	3306
6	117	3230
7	133	3193
8	147	3127
9	161	3061
10	174	3000
11	188	2956
12	202	2915
13	215	2858
14	229	2829
15	244	2814
16	258	2777
17	272	2751
18	286	2727
19	301	2711
20	315	2692
21	332	2688
22	348	2685
23	367	2697
24	388	2720
25	411	2751
26	433	2779
27	455	2799
28	488	2880
29	515	2918
30	536	2923
31	558	2930
32	579	2931
33	602	2940
34	622	2932
35	643	2931
36	664	2926
37	686	2927
38	704	2907
39	723	2895
40	741	2876
41	759	2856
42	777	2840
43	793	2813
44	813	2802
45	829	2778
46	845	2753
47	862	2732
48	881	2716
49	898	2696
50	914	2671
51	932	2652
52	950	2635
53	967	2615
54	983	2593
55	1001	2574
56	1017	2551
57	1035	2533
58	1054	2519
59	1072	2502
60	1088	2480
61	1107	2465
62	1126	2450
63	1144	2432
64	1162	2414
65	1181	2399
66	1198	2379
67	1218	2364
68	1237	2350
69	1254	2329
70	1270	2308
71	1289	2293
72	1308	2275
73	1326	2258
74	1345	2241
75	1362	2223
76	1380	2205
77	1399	2189
78	1417	2170
79	1440	2160
80	1456	2139
81	1474	2121
82	1492	2103
83	1510	2086
84	1527	2066
85	1547	2051
86	1566	2034
87	1584	2016
88	1600	1996
89	1620	1980
90	1637	1961
91	1657	1945
92	1678	1930
93	1696	1912
94	1714	1895
95	1734	1879
96	1752	1860
97	1769	1841
98	1787	1823
99	1805	1805
100	1823	1787
101	1843	1771
102	1862	1753
103	1881	1737
104	1900	1719
105	1919	1702
106	1938	1684
107	1954	1665
108	1973	1647
109	1991	1629
110	2008	1610
111	2025	1591
112	2043	1573
113	2060	1554
114	2076	1534
115	2093	1516
116	2111	1498
117	2129	1479
118	2145	1460
119	2164	1443
120	2183	1425
121	2201	1407
122	2219	1389
123	2238	1371
124	2257	1354
125	2275	1336
126	2294	1318
127	2314	1301
128	2330	1282
129	2348	1264
130	2367	1246
131	2386	1229
132	2431	1225
133	2450	1206
134	2469	1189
135	2478	1166
136	2498	1148
137	2517	1130
138	2536	1113
139	2556	1095
140	2577	1078
141	2596	1060
142	2615	1042
143	2634	1024
144	2653	1006
145	2672	988
146	2690	970
147	2709	951
148	2727	933
149	2745	915
150	2763	896
151	2780	878
152	2800	860
153	2817	841
154	2834	822
155	2855	805
156	2873	786
157	2891	768
158	2910	750
159	2929	732
160	2947	713
161	2965	695
162	2982	677
163	2999	658
164	3017	640
165	3036	621
166	3052	603
167	3072	585
168	3091	567
169	3108	548
170	3127	530
171	3148	512
172	3166	494
173	3183	475
174	3201	457
175	3220	439
176	3236	420
177	3256	402
178	3274	384
179	3295	366
180	3310	347
181	3326	328
182	3344	310
183	3362	292
184	3382	274
185	3403	256
186	3421	237
187	3438	219
188	3458	201
189	3476	182
190	3496	164
191	3516	146
192	3532	128
193	3550	109
194	3567	91
195	3585	73
196	3603	54
197	3622	36
198	3640	18
199	3657	0
