iter	Passed	Remaining
0	13	4061
1	21	3263
2	27	2688
3	33	2449
4	38	2288
5	44	2173
6	52	2186
7	58	2132
8	61	1978
9	66	1939
10	72	1909
11	79	1896
12	86	1900
13	92	1891
14	98	1865
15	103	1834
16	108	1799
17	112	1764
18	117	1738
19	122	1712
20	127	1692
21	132	1672
22	137	1650
23	142	1636
24	147	1624
25	151	1596
26	157	1590
27	162	1582
28	167	1568
29	173	1558
30	177	1543
31	180	1514
32	185	1500
33	190	1493
34	196	1485
35	201	1474
36	206	1468
37	211	1454
38	215	1443
39	220	1434
40	226	1429
41	231	1422
42	236	1411
43	241	1403
44	246	1399
45	252	1394
46	259	1394
47	265	1391
48	268	1377
49	274	1370
50	277	1356
51	283	1351
52	289	1349
53	293	1337
54	298	1331
55	303	1323
56	310	1321
57	314	1314
58	320	1307
59	324	1299
60	331	1299
61	337	1294
62	343	1293
63	350	1294
64	356	1290
65	363	1287
66	369	1286
67	375	1281
68	382	1280
69	388	1277
70	396	1278
71	402	1275
72	407	1268
73	413	1262
74	418	1256
75	425	1253
76	431	1250
77	437	1244
78	442	1237
79	447	1231
80	454	1227
81	459	1222
82	465	1216
83	471	1212
84	476	1206
85	482	1200
86	487	1192
87	492	1186
88	497	1180
89	503	1175
90	509	1169
91	515	1164
92	521	1161
93	527	1156
94	533	1150
95	538	1144
96	544	1139
97	550	1135
98	556	1130
99	562	1124
100	568	1119
101	572	1111
102	578	1106
103	585	1102
104	590	1096
105	595	1090
106	600	1083
107	606	1078
108	610	1069
109	614	1061
110	620	1055
111	626	1051
112	632	1046
113	637	1040
114	642	1034
115	648	1028
116	654	1023
117	660	1018
118	665	1012
119	672	1008
120	677	1001
121	682	995
122	688	991
123	694	985
124	699	979
125	703	970
126	707	964
127	712	958
128	717	951
129	722	945
130	728	939
131	734	934
132	738	927
133	743	921
134	749	915
135	754	909
136	759	903
137	765	898
138	768	889
139	773	884
140	778	878
141	784	872
142	790	867
143	795	861
144	800	855
145	805	849
146	811	844
147	816	838
148	821	832
149	827	827
150	832	821
151	836	814
152	841	808
153	847	803
154	850	795
155	855	789
156	861	784
157	865	777
158	870	772
159	875	766
160	881	760
161	886	754
162	891	749
163	896	743
164	901	737
165	907	732
166	912	726
167	917	721
168	923	715
169	925	707
170	929	700
171	934	695
172	940	690
173	944	683
174	949	678
175	954	672
176	959	666
177	964	661
178	968	654
179	973	649
180	979	643
181	984	638
182	989	632
183	994	627
184	1000	621
185	1003	614
186	1009	609
187	1014	604
188	1019	598
189	1024	593
190	1030	588
191	1035	582
192	1041	577
193	1046	571
194	1050	565
195	1056	560
196	1062	555
197	1067	549
198	1073	544
199	1076	538
200	1084	534
201	1090	528
202	1095	523
203	1101	518
204	1106	512
205	1112	507
206	1118	502
207	1126	498
208	1131	492
209	1137	487
210	1142	481
211	1148	476
212	1153	471
213	1159	465
214	1164	460
215	1170	455
216	1175	449
217	1179	443
218	1184	438
219	1189	432
220	1195	427
221	1201	422
222	1207	417
223	1213	411
224	1219	406
225	1226	401
226	1232	396
227	1238	390
228	1244	385
229	1250	380
230	1257	375
231	1264	370
232	1271	365
233	1276	360
234	1283	354
235	1286	348
236	1293	343
237	1298	338
238	1304	332
239	1309	327
240	1315	322
241	1322	317
242	1326	311
243	1331	305
244	1337	300
245	1344	295
246	1350	289
247	1356	284
248	1363	279
249	1368	273
250	1373	268
251	1378	262
252	1384	257
253	1387	251
254	1392	245
255	1398	240
256	1405	235
257	1411	229
258	1416	224
259	1423	218
260	1429	213
261	1434	207
262	1439	202
263	1445	197
264	1451	191
265	1457	186
266	1460	180
267	1466	175
268	1473	169
269	1478	164
270	1485	158
271	1490	153
272	1497	148
273	1503	142
274	1508	137
275	1514	131
276	1521	126
277	1527	120
278	1533	115
279	1539	109
280	1545	104
281	1552	99
282	1557	93
283	1562	88
284	1569	82
285	1575	77
286	1580	71
287	1585	66
288	1590	60
289	1595	55
290	1598	49
291	1605	43
292	1607	38
293	1613	32
294	1619	27
295	1624	21
296	1630	16
297	1635	10
298	1639	5
299	1644	0
